alert_id,alert_text,disaster_type,affected_region,source,date
IMD_2017_001,"Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_002,"Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_003,"Severe Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_004,"Severe Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_005,"Very Severe Cyclonic Storm detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_006,"Very Severe Cyclonic Storm detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_007,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_008,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_009,"Super Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_010,"Super Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_011,"Depression detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_012,"Depression detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_013,"Deep Depression detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_014,"Deep Depression detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_015,"Land Depression detected over Central India during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2017-06-01
